resolution,frame_no,pts,codec,source_width,source_height,decode_ms,push_block_ms,app_to_dec_ms,dec_to_conv_ms,conv_to_sink_ms,display_ms,frame_interval_ms,queue_depth,decoded_at
1920x1080,117,4640000000,H.265,1920,1080,97.224,0.048449,-1,-1,-1,20.5041,42.8253,2,2026-08-04 17:57:01
1920x1080,118,4680000000,H.265,1920,1080,98.3634,0.024993,-1,-1,-1,16.0295,40.3833,2,2026-08-04 17:57:01
1920x1080,119,4720000000,H.265,1920,1080,97.4917,0.020705,-1,-1,-1,22.3385,39.0393,2,2026-08-04 17:57:01
1920x1080,120,4760000000,H.265,1920,1080,97.6789,0.020001,-1,-1,-1,16.9562,40.751,2,2026-08-04 17:57:01
1920x1080,121,4800000000,H.265,1920,1080,97.5921,0.024448,-1,-1,-1,20.1762,38.7234,2,2026-08-04 17:57:01
1920x1080,122,4840000000,H.265,1920,1080,99.2425,0.016577,-1,-1,-1,16.8976,42.5214,2,2026-08-04 17:57:01
1920x1080,123,4880000000,H.265,1920,1080,98.2785,0.020832,-1,-1,-1,17.082,37.6719,2,2026-08-04 17:57:01
1920x1080,124,4920000000,H.265,1920,1080,95.6099,0.015873,-1,-1,-1,27.0198,39.9389,2,2026-08-04 17:57:02
1920x1080,125,4960000000,H.265,1920,1080,99.0377,0.025569,-1,-1,-1,17.6192,40.8864,2,2026-08-04 17:57:02
1920x1080,126,5000000000,H.265,1920,1080,97.7177,0.020545,-1,-1,-1,14.2633,38.8441,2,2026-08-04 17:57:02
1920x1080,127,5040000000,H.265,1920,1080,96.2811,0.015104,-1,-1,-1,20.3429,39.2177,2,2026-08-04 17:57:02
1920x1080,128,5080000000,H.265,1920,1080,101.805,0.022945,-1,-1,-1,14.4342,44.324,2,2026-08-04 17:57:02
1920x1080,129,5120000000,H.265,1920,1080,103.665,0.0168,-1,-1,-1,18.0457,41.5641,2,2026-08-04 17:57:02
1920x1080,130,5160000000,H.265,1920,1080,98.6384,0.023328,-1,-1,-1,20.5207,38.6206,2,2026-08-04 17:57:02
1920x1080,131,5200000000,H.265,1920,1080,127.77,0.020801,-1,-1,-1,18.9109,71.3314,2,2026-08-04 17:57:02
1920x1080,132,5240000000,H.265,1920,1080,118.825,0.019873,-1,-1,-1,17.7236,27.6648,3,2026-08-04 17:57:02
1920x1080,133,5280000000,H.265,1920,1080,74.4932,0.019873,-1,-1,-1,16.5021,25.1785,2,2026-08-04 17:57:02
1920x1080,134,5320000000,H.265,1920,1080,95.9582,0.014976,-1,-1,-1,15.8812,53.5031,2,2026-08-04 17:57:02
1920x1080,135,5360000000,H.265,1920,1080,104.138,0.023681,-1,-1,-1,13.8209,24.8103,2,2026-08-04 17:57:02
1920x1080,136,5400000000,H.265,1920,1080,96.9444,0.022497,-1,-1,-1,17.7226,36.9692,2,2026-08-04 17:57:02
1920x1080,137,5440000000,H.265,1920,1080,95.6759,0.024225,-1,-1,-1,15.5594,36.0882,2,2026-08-04 17:57:02
1920x1080,138,5480000000,H.265,1920,1080,93.4725,0.015617,-1,-1,-1,15.9423,39.5585,2,2026-08-04 17:57:02
1920x1080,139,5520000000,H.265,1920,1080,99.6268,0.018816,-1,-1,-1,18.8412,42.1512,2,2026-08-04 17:57:02
1920x1080,140,5560000000,H.265,1920,1080,96.9338,0.019552,-1,-1,-1,15.3975,36.9611,2,2026-08-04 17:57:02
1920x1080,141,5600000000,H.265,1920,1080,97.5395,0.021408,-1,-1,-1,15.7819,42.6781,2,2026-08-04 17:57:02
1920x1080,142,5640000000,H.265,1920,1080,98.1658,0.024193,-1,-1,-1,13.6023,38.8267,2,2026-08-04 17:57:02
1920x1080,143,5680000000,H.265,1920,1080,98.2127,0.022304,-1,-1,-1,16.121,41.6343,2,2026-08-04 17:57:02
1920x1080,144,5720000000,H.265,1920,1080,95.5433,0.022625,-1,-1,-1,17.2702,38.15,2,2026-08-04 17:57:02
1920x1080,145,5760000000,H.265,1920,1080,96.274,0.030081,-1,-1,-1,18.059,40.2421,2,2026-08-04 17:57:02
1920x1080,146,5800000000,H.265,1920,1080,97.101,0.020289,-1,-1,-1,16.9431,40.1968,2,2026-08-04 17:57:02
1920x1080,147,5840000000,H.265,1920,1080,97.7655,0.023169,-1,-1,-1,15.6353,40.3909,2,2026-08-04 17:57:02
1920x1080,148,5880000000,H.265,1920,1080,98.208,0.024192,-1,-1,-1,15.6007,39.9725,2,2026-08-04 17:57:02
1920x1080,149,5920000000,H.265,1920,1080,95.4944,0.016225,-1,-1,-1,17.0696,39.6646,2,2026-08-04 17:57:03
1920x1080,150,5960000000,H.265,1920,1080,95.4852,0.022465,-1,-1,-1,15.6604,38.0457,2,2026-08-04 17:57:03
1920x1080,151,6000000000,H.265,1920,1080,98.6895,0.019584,-1,-1,-1,18.2173,43.4928,2,2026-08-04 17:57:03
1920x1080,152,6040000000,H.265,1920,1080,95.4759,0.019553,-1,-1,-1,17.4568,36.0555,2,2026-08-04 17:57:03
1920x1080,153,6080000000,H.265,1920,1080,96.2476,0.020225,-1,-1,-1,15.3031,42.6543,2,2026-08-04 17:57:03
1920x1080,154,6120000000,H.265,1920,1080,99.2157,0.022113,-1,-1,-1,17.2841,40.8812,2,2026-08-04 17:57:03
1920x1080,155,6160000000,H.265,1920,1080,101.057,0.01664,-1,-1,-1,15.7746,42.2986,2,2026-08-04 17:57:03
1920x1080,156,6200000000,H.265,1920,1080,126.875,0.021473,-1,-1,-1,15.9944,68.6571,2,2026-08-04 17:57:03
1920x1080,157,6240000000,H.265,1920,1080,114.959,0.01664,-1,-1,-1,12.789,27.5011,2,2026-08-04 17:57:03
1920x1080,158,6280000000,H.265,1920,1080,66.9052,0.015776,-1,-1,-1,15.1717,20.9517,2,2026-08-04 17:57:03
1920x1080,159,6320000000,H.265,1920,1080,92.7793,0.014113,-1,-1,-1,15.2475,55.5223,2,2026-08-04 17:57:03
1920x1080,160,6360000000,H.265,1920,1080,100.088,0.020224,-1,-1,-1,12.6653,25.1132,2,2026-08-04 17:57:03
1920x1080,161,6400000000,H.265,1920,1080,100.165,0.017025,-1,-1,-1,17.9043,40.5769,2,2026-08-04 17:57:03
1920x1080,162,6440000000,H.265,1920,1080,94.7486,0.021057,-1,-1,-1,17.3173,36.7821,2,2026-08-04 17:57:03
1920x1080,163,6480000000,H.265,1920,1080,94.7916,0.016961,-1,-1,-1,15.2105,40.284,2,2026-08-04 17:57:03
1920x1080,164,6520000000,H.265,1920,1080,98.831,0.014656,-1,-1,-1,17.2758,40.8344,2,2026-08-04 17:57:03
1920x1080,165,6560000000,H.265,1920,1080,98.0288,0.020225,-1,-1,-1,15.1857,39.2505,2,2026-08-04 17:57:03
1920x1080,166,6600000000,H.265,1920,1080,98.5153,0.015713,-1,-1,-1,15.1376,41.4004,2,2026-08-04 17:57:03
